Dataset,Model,Total,Baseline Acc,X-Exam Acc,Hallucinations Caught,Catch Rate (%)
truthful_qa,llama-3.1-8b-instant,638,2.664576802507837,1.5673981191222568,189,30.434782608695656
truthful_qa,llama-3.3-70b-versatile,70,5.714285714285714,4.285714285714286,47,71.21212121212122
truthful_qa,qwen/qwen3-32b,109,5.5045871559633035,4.587155963302752,81,78.64077669902912
gsm8k,llama-3.1-8b-instant,891,68.23793490460157,65.31986531986533,109,38.515901060070675
gsm8k,llama-3.3-70b-versatile,184,77.17391304347827,75.54347826086956,4,9.523809523809524
gsm8k,qwen/qwen3-32b,244,84.01639344262296,78.68852459016394,10,25.64102564102564
medqa,llama-3.1-8b-instant,780,76.7948717948718,61.92307692307693,93,51.38121546961326
medqa,qwen/qwen3-32b,5,100.0,60.0,0,0.0
