Dataset,Total Items,Judge Accept Rate,Adversarial Rejection Rate
truthful_qa,817,59.36352509179926,39.90208078335373
HaluEval,2197,41.05598543468366,58.17023213472917
gsm8k,1319,71.49355572403337,27.141774071266113
medmcqa,2055,49.97566909975669,48.02919708029197
medqa,1273,57.580518460329934,41.39827179890024
case_hold,2000,62.2,37.4
law_stack_exchange,638,62.38244514106584,36.990595611285265
hle,2158,62.27988878591289,37.72011121408711
